P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
1,1,1,1504,489,551,1017,MP,Yes
1,2,8,1240,1306,448,314,DF,Yes
1,3,7,623,733,424,474,CF,No
1,4,6,331,,163,698,ACF,No
1,5,5,1011,686,576,216,MPF,No
1,6,4,1068,672,465,336,DB,No
1,7,3,650,815,333,273,CB,Yes
1,8,2,1919,506,176,373,AC,Yes
1,9,1,768,874,390,343,MP,Yes
1,10,8,409,591,890,1204,DF,Yes
1,11,7,869,467,909,401,CF,No
1,12,6,1599,472,561,298,ACF,No
1,13,5,1285,707,741,306,MPF,No
1,14,4,1003,555,598,392,DB,No
1,15,3,923,548,581,348,CB,Yes
1,16,2,1071,1379,913,273,AC,Yes
1,17,1,1111,144,665,315,MP,Yes
1,18,8,510,924,1124,171,DF,Yes
1,19,7,1097,874,612,775,CF,No
1,20,6,703,195,565,702,ACF,No
1,21,5,1252,511,624,258,MPF,No
1,22,4,783,724,618,545,DB,No
1,23,3,819,622,1117,259,CB,Yes
1,24,2,573,984,385,422,AC,Yes
1,25,1,625,259,383,199,MP,Yes
1,26,8,709,1348,536,494,DF,Yes
1,27,7,1264,1040,329,511,CF,No
1,28,6,1289,662,622,377,ACF,No
1,29,5,602,1407,692,599,MPF,No
1,30,4,1041,206,1983,270,DB,No
1,31,3,1525,2168,458,401,CB,Yes
1,32,2,982,1753,2548,960,AC,Yes
2,1,2,1227,1096,426,664,AC,Yes
2,2,1,941,706,414,426,MP,Yes
2,3,8,1762,864,530,338,DF,Yes
2,4,7,1011,481,878,1033,CF,No
2,5,6,850,629,656,427,ACF,No
2,6,5,573,792,543,641,MPF,No
2,7,4,530,691,454,276,DB,Yes
2,8,3,675,448,389,421,CB,Yes
2,9,2,658,726,682,766,AC,Yes
2,10,1,911,662,,478,MP,Yes
2,11,8,662,1249,862,644,DF,No
2,12,7,653,776,619,702,CF,Yes
2,13,6,1612,1113,590,392,ACF,No
2,14,5,839,1496,676,1836,MPF,Yes
2,15,4,503,488,302,621,DB,No
2,16,3,518,342,384,262,CB,Yes
2,17,2,560,752,391,282,AC,Yes
2,18,1,910,653,441,474,MP,Yes
2,19,8,646,900,441,583,DF,No
2,20,7,671,587,442,479,CF,No
2,21,6,805,908,991,601,ACF,No
2,22,5,1075,1225,491,272,MPF,No
2,23,4,1268,785,489,593,DB,No
2,24,3,704,536,404,448,CB,Yes
2,25,2,805,719,386,649,AC,Yes
2,26,1,790,1447,508,430,MP,Yes
2,27,8,622,695,684,420,DF,No
2,28,7,497,682,603,353,CF,No
2,29,6,1637,784,550,341,ACF,No
2,30,5,946,1174,730,1521,MPF,No
2,31,4,817,1458,451,658,DB,No
2,32,3,742,601,495,626,CB,Yes
3,1,3,673,374,592,478,CB,Yes
3,2,2,871,752,918,696,AC,Yes
3,3,1,340,370,712,339,MP,Yes
3,4,8,455,441,561,879,DF,Yes
3,5,7,177,168,621,193,CF,No
3,6,6,475,629,774,317,ACF,No
3,7,5,263,688,546,329,MPF,No
3,8,4,334,340,382,180,DB,No
3,9,3,159,305,356,410,CB,Yes
3,10,2,163,514,1006,701,AC,Yes
3,11,1,348,419,404,373,MP,Yes
3,12,8,305,381,696,331,DF,Yes
3,13,7,335,403,547,786,CF,Yes
3,14,6,256,573,665,658,ACF,No
3,15,5,611,454,563,418,MPF,No
3,16,4,147,551,370,519,DB,No
3,17,3,637,597,450,410,CB,Yes
3,18,2,586,610,406,912,AC,Yes
3,19,1,538,483,406,699,MP,Yes
3,20,8,404,348,586,398,DF,Yes
3,21,7,1441,329,682,906,CF,Yes
3,22,6,706,885,524,1074,ACF,No
3,23,5,835,,234,339,MPF,No
3,24,4,624,545,536,253,DB,No
3,25,3,383,,254,705,CB,Yes
3,26,2,121,572,,740,AC,Yes
3,27,1,600,508,371,686,MP,Yes
3,28,8,553,384,798,585,DF,Yes
3,29,7,343,143,839,554,CF,Yes
3,30,6,574,729,562,497,ACF,No
3,31,5,322,504,531,301,MPF,No
3,32,4,198,492,530,259,DB,No
4,1,4,335,258,481,,DB,No
4,2,3,278,532,556,345,CB,Yes
4,3,2,535,513,479,,AC,Yes
4,4,1,852,181,539,329,MP,Yes
4,5,8,462,1352,682,325,DF,Yes
4,6,7,275,415,758,169,CF,No
4,7,6,1095,868,752,,ACF,No
4,8,5,627,673,550,298,MPF,No
4,9,4,545,760,446,550,DB,No
4,10,3,402,485,343,188,CB,Yes
4,11,2,516,135,267,266,AC,Yes
4,12,1,527,,158,145,MP,Yes
4,13,8,730,843,1282,535,DF,Yes
4,14,7,463,485,554,368,CF,No
4,15,6,121,161,709,1518,ACF,No
4,16,5,2079,1065,819,401,MPF,No
4,17,4,296,650,714,,DB,No
4,18,3,416,845,763,124,CB,Yes
4,19,2,635,537,446,128,AC,Yes
4,20,1,587,655,101,,MP,Yes
4,21,8,489,236,1119,,DF,Yes
4,22,7,363,,274,137,CF,No
4,23,6,758,816,371,650,ACF,No
4,24,5,727,370,746,,MPF,No
4,25,4,552,599,879,643,DB,No
4,26,3,380,443,355,466,CB,Yes
4,27,2,437,702,88,316,AC,Yes
4,28,1,645,,150,81,MP,Yes
4,29,8,713,479,1175,108,DF,No
4,30,7,402,504,391,1349,CF,No
4,31,6,1560,2324,449,474,ACF,No
4,32,5,523,637,787,,MPF,No
5,1,5,270,664,643,653,MPF,No
5,2,4,1171,1494,608,739,DB,No
5,3,3,917,903,467,1083,CB,Yes
5,4,2,600,160,500,468,AC,No
5,5,1,851,973,1442,561,MP,Yes
5,6,8,734,,937,799,DF,Yes
5,7,7,612,1561,684,178,CF,No
5,8,6,1166,1458,697,581,ACF,No
5,9,5,962,180,1097,1551,MPF,No
5,10,4,519,957,700,1199,DB,No
5,11,3,1343,805,1070,1206,CB,Yes
5,12,2,543,976,488,1528,AC,No
5,13,1,901,179,587,445,MP,Yes
5,14,8,176,2182,906,460,DF,Yes
5,15,7,534,1950,704,439,CF,No
5,16,6,827,711,424,632,ACF,No
5,17,5,1209,1557,907,1083,MPF,No
5,18,4,1817,965,908,687,DB,No
5,19,3,502,924,504,250,CB,Yes
5,20,2,638,437,199,957,AC,No
