P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
1,1,1,1,0,0,0,MP,Yes
1,2,8,1,1,1,0,DF,Yes
1,3,7,1,1,1,0,CF,No
1,4,6,1,1,1,0,ACF,No
1,5,5,1,1,0,0,MPF,No
1,6,4,1,0,1,0,DB,No
1,7,3,1,0,1,0,CB,Yes
1,8,2,1,1,1,0,AC,Yes
1,9,1,1,0,0,0,MP,Yes
1,10,8,1,0,0,0,DF,Yes
1,11,7,1,1,1,0,CF,No
1,12,6,1,1,1,0,ACF,No
1,13,5,1,1,0,0,MPF,No
1,14,4,1,1,1,0,DB,No
1,15,3,1,1,0,0,CB,Yes
1,16,2,1,1,0,0,AC,Yes
1,17,1,1,1,0,0,MP,Yes
1,18,8,1,1,0,0,DF,Yes
1,19,7,1,0,1,0,CF,No
1,20,6,1,1,0,0,ACF,No
1,21,5,1,1,0,0,MPF,No
1,22,4,1,1,0,0,DB,No
1,23,3,0,1,1,0,CB,Yes
1,24,2,1,0,0,0,AC,Yes
1,25,1,1,0,0,0,MP,Yes
1,26,8,1,0,1,0,DF,Yes
1,27,7,1,1,1,0,CF,No
1,28,6,1,1,1,0,ACF,No
1,29,5,0,1,0,0,MPF,No
1,30,4,1,0,1,0,DB,No
1,31,3,1,0,0,0,CB,Yes
1,32,2,1,1,1,0,AC,Yes
2,1,2,0,0,0,0,AC,Yes
2,2,1,0,0,1,0,MP,Yes
2,3,8,1,0,0,0,DF,Yes
2,4,7,0,1,0,0,CF,No
2,5,6,1,0,1,0,ACF,No
2,6,5,1,0,1,0,MPF,No
2,7,4,1,0,1,0,DB,Yes
2,8,3,0,0,0,0,CB,Yes
2,9,2,1,0,1,0,AC,Yes
2,10,1,0,0,0,0,MP,Yes
2,11,8,1,1,0,0,DF,No
2,12,7,1,0,1,0,CF,Yes
2,13,6,1,1,0,0,ACF,No
2,14,5,1,0,0,0,MPF,Yes
2,15,4,1,0,0,0,DB,No
2,16,3,0,0,1,0,CB,Yes
2,17,2,0,0,1,0,AC,Yes
2,18,1,1,0,0,0,MP,Yes
2,19,8,1,1,0,0,DF,No
2,20,7,0,0,1,0,CF,No
2,21,6,1,1,0,0,ACF,No
2,22,5,0,0,1,0,MPF,No
2,23,4,0,0,1,0,DB,No
2,24,3,1,0,0,0,CB,Yes
2,25,2,0,0,0,0,AC,Yes
2,26,1,0,0,1,0,MP,Yes
2,27,8,0,1,1,0,DF,No
2,28,7,1,0,0,0,CF,No
2,29,6,1,1,1,0,ACF,No
2,30,5,1,1,1,0,MPF,No
2,31,4,1,0,1,0,DB,No
2,32,3,0,0,1,0,CB,Yes
3,1,3,1,0,1,0,CB,Yes
3,2,2,0,0,0,0,AC,Yes
3,3,1,1,1,1,0,MP,Yes
3,4,8,0,1,1,0,DF,Yes
3,5,7,1,0,0,0,CF,No
3,6,6,0,1,1,0,ACF,No
3,7,5,1,1,1,0,MPF,No
3,8,4,1,1,0,0,DB,No
3,9,3,1,0,1,0,CB,Yes
3,10,2,1,0,0,0,AC,Yes
3,11,1,1,0,0,0,MP,Yes
3,12,8,0,1,0,0,DF,Yes
3,13,7,1,1,1,0,CF,Yes
3,14,6,1,1,0,0,ACF,No
3,15,5,1,0,0,0,MPF,No
3,16,4,1,1,1,0,DB,No
3,17,3,0,1,0,0,CB,Yes
3,18,2,1,1,0,0,AC,Yes
3,19,1,1,0,1,0,MP,Yes
3,20,8,1,0,1,0,DF,Yes
3,21,7,1,1,0,0,CF,Yes
3,22,6,1,1,1,0,ACF,No
3,23,5,1,1,1,0,MPF,No
3,24,4,0,1,1,0,DB,No
3,25,3,1,0,0,0,CB,Yes
3,26,2,0,1,1,0,AC,Yes
3,27,1,0,0,1,0,MP,Yes
3,28,8,1,1,0,0,DF,Yes
3,29,7,1,0,1,0,CF,Yes
3,30,6,1,1,1,0,ACF,No
3,31,5,1,0,0,0,MPF,No
3,32,4,1,0,1,0,DB,No
4,1,4,0,1,0,0,DB,No
4,2,3,1,1,0,0,CB,Yes
4,3,2,0,1,0,0,AC,Yes
4,4,1,1,0,0,0,MP,Yes
4,5,8,0,1,0,0,DF,Yes
4,6,7,0,0,0,0,CF,No
4,7,6,0,0,0,0,ACF,No
4,8,5,1,0,0,0,MPF,No
4,9,4,1,1,1,0,DB,No
4,10,3,0,1,0,0,CB,Yes
4,11,2,1,1,1,0,AC,Yes
4,12,1,1,1,1,0,MP,Yes
4,13,8,1,1,1,0,DF,Yes
4,14,7,0,0,0,0,CF,No
4,15,6,1,0,0,0,ACF,No
4,16,5,1,0,0,0,MPF,No
4,17,4,0,1,0,0,DB,No
4,18,3,0,0,1,0,CB,Yes
4,19,2,1,1,0,0,AC,Yes
4,20,1,1,0,0,0,MP,Yes
4,21,8,1,0,0,0,DF,Yes
4,22,7,1,1,0,0,CF,No
4,23,6,1,0,1,0,ACF,No
4,24,5,0,0,0,0,MPF,No
4,25,4,0,0,0,0,DB,No
4,26,3,1,1,0,0,CB,Yes
4,27,2,1,0,0,0,AC,Yes
4,28,1,1,1,0,0,MP,Yes
4,29,8,0,0,0,0,DF,No
4,30,7,0,1,0,0,CF,No
4,31,6,1,0,1,0,ACF,No
4,32,5,1,0,0,0,MPF,No
5,1,5,0,0,1,0,MPF,No
5,2,4,1,0,1,0,DB,No
5,3,3,1,1,0,0,CB,Yes
5,4,2,1,0,1,0,AC,No
5,5,1,1,0,1,0,MP,Yes
5,6,8,1,1,1,0,DF,Yes
5,7,7,1,0,1,0,CF,No
5,8,6,0,0,1,0,ACF,No
5,9,5,1,0,0,0,MPF,No
5,10,4,1,1,1,0,DB,No
5,11,3,1,0,0,0,CB,Yes
5,12,2,0,1,1,0,AC,No
5,13,1,1,1,1,0,MP,Yes
5,14,8,1,1,0,0,DF,Yes
5,15,7,1,1,1,0,CF,No
5,16,6,1,1,0,0,ACF,No
5,17,5,1,0,0,0,MPF,No
5,18,4,1,0,1,0,DB,No
5,19,3,1,1,0,0,CB,Yes
5,20,2,1,0,1,0,AC,No
5,21,1,1,1,0,0,MP,Yes
5,22,8,0,1,1,0,DF,Yes
5,23,7,1,0,0,0,CF,No
5,24,6,0,0,1,0,ACF,No
5,25,5,1,0,1,0,MPF,No
5,26,4,1,0,0,0,DB,No
5,27,3,1,1,0,0,CB,Yes
5,28,2,1,1,1,0,AC,No
5,29,1,1,0,1,0,MP,Yes
5,30,8,0,0,1,0,DF,Yes
5,31,7,0,0,1,0,CF,No
5,32,6,0,0,0,0,ACF,No
6,1,6,1,0,0,0,ACF,No
6,2,5,1,0,0,0,MPF,No
6,3,4,1,0,1,0,DB,No
6,4,3,1,0,0,0,CB,Yes
6,5,2,1,1,1,0,AC,Yes
6,6,1,0,0,1,0,MP,Yes
6,7,8,1,0,1,0,DF,No
6,8,7,1,1,0,0,CF,No
6,9,6,1,1,1,0,ACF,No
6,10,5,1,0,0,0,MPF,No
6,11,4,1,1,0,0,DB,No
6,12,3,1,0,0,0,CB,Yes
6,13,2,1,0,1,0,AC,Yes
6,14,1,1,0,0,0,MP,Yes
6,15,8,1,0,1,0,DF,Yes
6,16,7,1,1,0,0,CF,No
6,17,6,1,0,0,0,ACF,No
6,18,5,1,0,0,0,MPF,No
6,19,4,1,0,1,0,DB,Yes
6,20,3,1,1,0,0,CB,Yes
6,21,2,1,0,0,0,AC,Yes
6,22,1,1,0,1,0,MP,Yes
6,23,8,1,1,0,0,DF,Yes
6,24,7,1,0,0,0,CF,No
6,25,6,1,0,0,0,ACF,No
6,26,5,1,1,0,0,MPF,No
6,27,4,1,0,0,0,DB,No
6,28,3,1,0,1,0,CB,Yes
6,29,2,1,0,0,0,AC,Yes
6,30,1,1,1,0,0,MP,Yes
6,31,8,1,1,1,0,DF,No
6,32,7,1,0,0,0,CF,No
7,1,7,1,0,0,0,CF,No
7,2,6,1,0,0,0,ACF,No
7,3,5,1,0,0,0,MPF,No
7,4,4,1,0,0,0,DB,No
7,5,3,1,0,1,0,CB,Yes
7,6,2,1,0,0,0,AC,Yes
7,7,1,0,0,0,0,MP,Yes
7,8,8,1,0,0,0,DF,Yes
7,9,7,1,0,1,0,CF,No
7,10,6,1,1,1,0,ACF,No
7,11,5,1,0,0,0,MPF,No
7,12,4,1,0,1,0,DB,No
7,13,3,1,0,0,0,CB,Yes
7,14,2,1,0,0,0,AC,Yes
7,15,1,1,1,0,0,MP,Yes
7,16,8,0,1,0,0,DF,Yes
7,17,7,0,0,0,0,CF,No
7,18,6,1,0,1,0,ACF,No
7,19,5,1,1,1,0,MPF,No
7,20,4,1,1,1,0,DB,No
7,21,3,1,1,0,0,CB,Yes
7,22,2,1,0,0,0,AC,Yes
7,23,1,1,1,0,0,MP,Yes
7,24,8,1,1,1,0,DF,Yes
7,25,7,1,0,0,0,CF,No
7,26,6,1,0,0,0,ACF,No
7,27,5,1,0,0,0,MPF,No
7,28,4,1,1,1,0,DB,Yes
7,29,3,1,0,0,0,CB,Yes
7,30,2,1,0,1,0,AC,Yes
7,31,1,1,0,1,0,MP,Yes
7,32,8,1,1,0,0,DF,Yes
8,1,8,1,0,0,0,DF,No
8,2,7,1,1,1,0,CF,Yes
8,3,6,0,1,0,0,ACF,No
8,4,5,1,1,1,0,MPF,No
8,5,4,0,0,1,0,DB,No
8,6,3,1,1,0,0,CB,Yes
8,7,2,1,0,0,0,AC,Yes
8,8,1,0,0,0,0,MP,Yes
8,9,8,1,0,0,0,DF,Yes
8,10,7,1,0,0,0,CF,Yes
8,11,6,1,1,0,0,ACF,No
8,12,5,1,1,0,0,MPF,No
8,13,4,1,0,1,0,DB,Yes
8,14,3,1,1,0,0,CB,Yes
8,15,2,0,1,0,0,AC,Yes
8,16,1,0,0,0,0,MP,Yes
8,17,8,1,1,1,0,DF,Yes
8,18,7,1,1,0,0,CF,Yes
8,19,6,1,1,0,0,ACF,No
8,20,5,1,0,0,0,MPF,No
8,21,4,0,0,0,0,DB,No
8,22,3,0,0,0,0,CB,Yes
8,23,2,1,1,0,0,AC,Yes
8,24,1,0,0,0,0,MP,Yes
8,25,8,1,0,0,0,DF,Yes
8,26,7,0,0,1,0,CF,Yes
8,27,6,0,1,0,0,ACF,No
8,28,5,1,0,0,0,MPF,No
8,29,4,0,0,0,0,DB,No
8,30,3,0,0,0,0,CB,Yes
8,31,2,1,1,0,0,AC,Yes
8,32,1,0,0,0,0,MP,Yes
9,1,1,0,1,0,0,MP,Yes
9,2,8,1,0,0,0,DF,Yes
9,3,7,0,0,1,0,CF,No
9,4,6,1,1,1,0,ACF,No
9,5,5,1,0,0,0,MPF,No
9,6,4,1,0,0,0,DB,No
9,7,3,1,0,1,0,CB,Yes
9,8,2,1,0,1,0,AC,Yes
9,9,1,1,0,0,0,MP,Yes
9,10,8,1,1,0,0,DF,Yes
9,11,7,1,1,0,0,CF,Yes
9,12,6,1,1,0,0,ACF,No
9,13,5,1,1,0,0,MPF,No
9,14,4,1,0,0,0,DB,No
9,15,3,0,0,0,0,CB,Yes
9,16,2,1,1,1,0,AC,Yes
9,17,1,1,1,1,0,MP,Yes
9,18,8,0,1,0,0,DF,Yes
9,19,7,1,1,1,0,CF,No
9,20,6,1,1,0,0,ACF,No
9,21,5,1,0,1,0,MPF,No
9,22,4,1,0,1,0,DB,No
9,23,3,1,0,0,0,CB,Yes
9,24,2,0,0,0,0,AC,Yes
9,25,1,1,0,0,0,MP,Yes
9,26,8,1,0,1,0,DF,Yes
9,27,7,1,1,0,0,CF,Yes
9,28,6,1,1,0,0,ACF,No
9,29,5,1,1,0,0,MPF,No
9,30,4,1,0,0,0,DB,No
9,31,3,1,0,0,0,CB,Yes
9,32,2,0,1,1,0,AC,Yes
10,1,2,1,1,1,0,AC,No
10,2,1,1,1,0,0,MP,Yes
10,3,8,1,1,0,0,DF,Yes
10,4,7,0,0,0,0,CF,No
10,5,6,1,1,0,0,ACF,No
10,6,5,1,1,0,0,MPF,No
10,7,4,1,0,1,0,DB,No
10,8,3,1,1,0,0,CB,Yes
10,9,2,1,0,1,0,AC,No
10,10,1,0,0,0,0,MP,Yes
10,11,8,1,1,0,0,DF,Yes
10,12,7,1,0,0,0,CF,No
10,13,6,1,0,0,0,ACF,No
10,14,5,1,0,0,0,MPF,No
10,15,4,1,0,0,0,DB,Yes
10,16,3,1,0,1,0,CB,Yes
10,17,2,1,0,1,0,AC,No
10,18,1,1,1,0,0,MP,Yes
10,19,8,1,0,1,0,DF,No
10,20,7,1,1,1,0,CF,No
10,21,6,1,1,0,0,ACF,No
10,22,5,1,1,1,0,MPF,No
10,23,4,1,0,1,0,DB,No
10,24,3,1,0,0,0,CB,Yes
10,25,2,1,1,0,0,AC,No
10,26,1,1,0,1,0,MP,Yes
10,27,8,1,0,0,0,DF,No
