P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
1,1,1,0,0,0,1,MP
1,2,8,0,0,1,1,DF
1,3,7,0,1,1,1,CF
1,4,6,0,0,1,1,ACF
1,5,5,0,1,0,1,MPF
1,6,4,0,1,0,1,DB
1,7,3,0,0,0,1,CB
1,8,2,0,1,1,1,AC
1,9,1,0,1,0,1,MP
1,10,8,0,0,1,0,DF
1,11,7,0,0,0,1,CF
1,12,6,0,1,0,1,ACF
1,13,5,0,1,0,1,MPF
1,14,4,0,1,0,1,DB
1,15,3,0,1,0,1,CB
1,16,2,0,1,0,1,AC
1,17,1,0,1,1,1,MP
1,18,8,0,0,1,0,DF
1,19,7,0,0,1,1,CF
1,20,6,0,1,1,1,ACF
1,21,5,0,0,0,1,MPF
1,22,4,0,0,1,1,DB
1,23,3,0,0,1,1,CB
1,24,2,0,1,1,1,AC
1,25,1,0,1,0,1,MP
1,26,8,0,0,1,1,DF
1,27,7,0,1,1,1,CF
1,28,6,0,1,1,1,ACF
1,29,5,0,0,0,1,MPF
1,30,4,0,1,1,1,DB
1,31,3,0,1,1,0,CB
1,32,2,0,0,1,1,AC
2,1,2,0,0,0,0,AC
2,2,1,0,0,0,1,MP
2,3,8,0,0,0,1,DF
2,4,7,0,0,1,0,CF
2,5,6,0,0,0,1,ACF
2,6,5,0,1,0,1,MPF
2,7,4,0,0,0,1,DB
2,8,3,0,0,0,0,CB
2,9,2,0,0,1,1,AC
2,10,1,0,0,0,0,MP
2,11,8,0,1,0,1,DF
2,12,7,0,0,0,1,CF
2,13,6,0,1,1,1,ACF
2,14,5,0,1,0,1,MPF
2,15,4,0,0,0,1,DB
2,16,3,0,0,0,1,CB
2,17,2,0,0,0,1,AC
2,18,1,0,0,0,1,MP
2,19,8,0,0,0,1,DF
2,20,7,0,0,0,1,CF
2,21,6,0,0,1,1,ACF
2,22,5,0,0,0,1,MPF
2,23,4,0,0,0,1,DB
2,24,3,0,0,0,1,CB
2,25,2,0,0,0,0,AC
2,26,1,0,0,0,1,MP
2,27,8,0,0,0,1,DF
2,28,7,0,0,0,1,CF
2,29,6,0,0,0,1,ACF
2,30,5,0,0,0,1,MPF
2,31,4,0,0,0,1,DB
2,32,3,0,0,0,1,CB
3,1,3,0,0,0,1,CB
3,2,2,0,0,0,0,AC
3,3,1,0,0,0,1,MP
3,4,8,0,0,0,1,DF
3,5,7,0,1,0,1,CF
3,6,6,0,0,0,1,ACF
3,7,5,0,0,0,1,MPF
3,8,4,0,0,0,1,DB
3,9,3,0,0,0,1,CB
3,10,2,0,0,0,1,AC
3,11,1,0,0,0,1,MP
3,12,8,0,0,0,1,DF
3,13,7,0,0,1,1,CF
3,14,6,0,0,0,1,ACF
3,15,5,0,0,0,1,MPF
3,16,4,0,0,0,1,DB
3,17,3,0,0,0,1,CB
3,18,2,0,0,0,1,AC
3,19,1,0,0,0,1,MP
3,20,8,0,1,0,1,DF
3,21,7,0,0,1,1,CF
3,22,6,0,0,0,1,ACF
3,23,5,0,0,1,1,MPF
3,24,4,0,0,0,1,DB
3,25,3,0,0,1,0,CB
3,26,2,0,0,0,1,AC
3,27,1,0,0,0,1,MP
3,28,8,0,0,1,1,DF
3,29,7,0,1,0,1,CF
3,30,6,0,0,0,1,ACF
3,31,5,0,0,0,1,MPF
3,32,4,0,0,0,1,DB
4,1,4,0,0,1,0,DB
4,2,3,0,0,1,0,CB
4,3,2,0,0,1,0,AC
4,4,1,0,1,1,0,MP
4,5,8,0,0,1,1,DF
4,6,7,0,0,0,0,CF
4,7,6,0,0,0,0,ACF
4,8,5,0,0,0,1,MPF
4,9,4,0,0,1,1,DB
4,10,3,0,0,0,1,CB
4,11,2,0,1,1,1,AC
4,12,1,0,0,0,1,MP
4,13,8,0,0,1,1,DF
4,14,7,0,0,0,0,CF
4,15,6,0,1,0,0,ACF
4,16,5,0,0,0,1,MPF
4,17,4,0,0,1,0,DB
4,18,3,0,0,0,1,CB
4,19,2,0,0,1,1,AC
4,20,1,0,0,1,0,MP
4,21,8,0,1,0,0,DF
4,22,7,0,0,1,0,CF
4,23,6,0,0,1,1,ACF
4,24,5,0,0,0,0,MPF
4,25,4,0,0,0,0,DB
4,26,3,0,0,1,1,CB
4,27,2,0,0,1,1,AC
4,28,1,0,0,0,1,MP
4,29,8,0,0,0,0,DF
4,30,7,0,0,1,0,CF
4,31,6,0,1,1,1,ACF
4,32,5,0,1,0,0,MPF
5,1,5,0,0,0,1,MPF
5,2,4,0,0,0,1,DB
5,3,3,0,0,0,1,CB
5,4,2,0,1,0,1,AC
5,5,1,0,1,0,1,MP
5,6,8,0,0,1,1,DF
5,7,7,0,1,0,1,CF
5,8,6,0,0,0,1,ACF
5,9,5,0,1,1,0,MPF
5,10,4,0,1,1,1,DB
5,11,3,0,1,0,0,CB
5,12,2,0,0,0,1,AC
5,13,1,0,1,0,1,MP
5,14,8,0,0,1,1,DF
5,15,7,0,1,1,1,CF
5,16,6,0,1,1,1,ACF
5,17,5,0,1,1,0,MPF
