P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
1,1,1,1504,489,551,5247,MP
1,2,8,1240,1306,1100,6535,DF
1,3,7,623,1377,2079,3463,CF
1,4,6,331,,6896,1527,ACF
1,5,5,1011,960,576,3789,MPF
1,6,4,1068,1508,465,2259,DB
1,7,3,650,815,333,2667,CB
1,8,2,1919,1149,2674,1235,AC
1,9,1,768,1528,390,973,MP
1,10,8,409,591,1799,1204,DF
1,11,7,869,467,909,3954,CF
1,12,6,1599,1965,561,3166,ACF
1,13,5,1285,1505,741,2293,MPF
1,14,4,1003,970,598,2705,DB
1,15,3,923,2002,581,1133,CB
1,16,2,1071,1557,913,1251,AC
1,17,1,1111,1445,1857,553,MP
1,18,8,510,924,2767,171,DF
1,19,7,1097,874,1262,2214,CF
1,20,6,703,1359,5894,5792,ACF
1,21,5,1252,511,624,2067,MPF
1,22,4,783,724,830,1439,DB
1,23,3,819,622,1617,751,CB
1,24,2,573,1345,835,1264,AC
1,25,1,625,1298,383,1242,MP
1,26,8,709,1348,903,1640,DF
1,27,7,1264,1364,1144,4644,CF
1,28,6,1289,2615,1012,2614,ACF
1,29,5,602,1407,692,1849,MPF
1,30,4,1041,1830,2675,1672,DB
1,31,3,1525,3025,1147,401,CB
1,32,2,982,1753,3471,7257,AC
2,1,2,1227,1096,426,664,AC
2,2,1,941,706,414,1527,MP
2,3,8,1762,864,530,4265,DF
2,4,7,1011,481,1489,1033,CF
2,5,6,850,629,656,3636,ACF
2,6,5,573,1401,543,2808,MPF
2,7,4,530,691,454,2063,DB
2,8,3,675,448,389,421,CB
2,9,2,658,726,2643,2740,AC
2,10,1,911,662,,478,MP
2,11,8,662,2937,862,13798,DF
2,12,7,653,776,619,6903,CF
2,13,6,1612,2288,3394,2368,ACF
2,14,5,839,3563,676,3960,MPF
2,15,4,503,488,302,1339,DB
2,16,3,518,342,384,578,CB
2,17,2,560,752,391,817,AC
2,18,1,910,653,441,1002,MP
2,19,8,646,900,441,7214,DF
2,20,7,671,587,442,659,CF
2,21,6,805,908,1642,1063,ACF
2,22,5,1075,1225,491,1494,MPF
2,23,4,1268,785,489,923,DB
2,24,3,704,536,404,1765,CB
2,25,2,805,719,386,649,AC
2,26,1,790,1447,508,1029,MP
2,27,8,622,695,684,2763,DF
2,28,7,497,682,603,1844,CF
2,29,6,1637,784,550,4274,ACF
2,30,5,946,1174,730,10571,MPF
2,31,4,817,1458,451,3189,DB
2,32,3,742,601,495,1337,CB
3,1,3,673,374,592,1515,CB
3,2,2,871,752,918,696,AC
3,3,1,340,370,712,4176,MP
3,4,8,455,441,561,2394,DF
3,5,7,177,954,621,904,CF
3,6,6,475,629,774,3129,ACF
3,7,5,263,688,546,3509,MPF
3,8,4,334,340,382,2703,DB
3,9,3,159,305,356,2851,CB
3,10,2,163,514,1006,1883,AC
3,11,1,348,419,404,1363,MP
3,12,8,305,381,696,481,DF
3,13,7,335,403,1372,6864,CF
3,14,6,256,573,665,3813,ACF
3,15,5,611,454,563,3228,MPF
3,16,4,147,551,370,3000,DB
3,17,3,637,597,450,1533,CB
3,18,2,586,610,406,3185,AC
3,19,1,538,483,406,2148,MP
3,20,8,404,1487,586,3044,DF
3,21,7,1441,329,1480,3403,CF
3,22,6,706,885,524,3878,ACF
3,23,5,835,,630,5636,MPF
3,24,4,624,545,536,954,DB
3,25,3,383,,1383,705,CB
3,26,2,121,572,,1696,AC
3,27,1,600,508,371,,MP
3,28,8,553,384,1528,2237,DF
3,29,7,343,1905,839,1972,CF
3,30,6,574,729,562,3933,ACF
3,31,5,322,504,531,1826,MPF
3,32,4,198,492,530,4246,DB
4,1,4,335,258,943,,DB
4,2,3,278,532,1890,345,CB
4,3,2,535,513,1130,,AC
4,4,1,852,1418,1195,329,MP
4,5,8,462,1352,1070,1112,DF
4,6,7,275,415,758,169,CF
4,7,6,1095,868,752,,ACF
4,8,5,627,673,550,1130,MPF
4,9,4,545,760,763,1761,DB
4,10,3,402,485,343,538,CB
4,11,2,516,513,2419,4972,AC
4,12,1,527,,158,19241,MP
4,13,8,730,843,2137,2911,DF
4,14,7,463,485,554,368,CF
4,15,6,121,1803,709,1518,ACF
4,16,5,2079,1065,819,1227,MPF
4,17,4,296,650,1762,,DB
4,18,3,416,845,763,304,CB
4,19,2,635,537,949,906,AC
4,20,1,587,655,2167,,MP
4,21,8,489,1070,1119,,DF
4,22,7,363,,4214,137,CF
4,23,6,758,816,761,1239,ACF
4,24,5,727,370,746,,MPF
4,25,4,552,599,879,643,DB
4,26,3,380,443,651,1149,CB
4,27,2,437,702,1663,1655,AC
4,28,1,645,,150,5049,MP
4,29,8,713,479,1175,108,DF
4,30,7,402,504,709,1349,CF
4,31,6,1560,2663,1100,1147,ACF
4,32,5,523,1460,787,,MPF
5,1,5,270,664,643,1231,MPF
5,2,4,1171,1494,608,4265,DB
5,3,3,917,903,467,2715,CB
5,4,2,600,1657,500,2108,AC
5,5,1,851,1413,1442,2316,MP
5,6,8,734,,4259,18396,DF
5,7,7,612,2934,684,,CF
5,8,6,1166,1458,697,964,ACF
5,9,5,962,4009,1638,1551,MPF
5,10,4,519,1904,1254,3700,DB
5,11,3,1343,2552,1070,1206,CB
5,12,2,543,976,488,6725,AC
5,13,1,901,2692,587,1213,MP
5,14,8,176,2182,1956,1061,DF
5,15,7,534,3128,949,1903,CF
5,16,6,827,1208,765,2744,ACF
5,17,5,1209,4449,1837,1083,MPF
5,18,4,1817,965,908,4497,DB
5,19,3,502,1319,504,1161,CB
5,20,2,638,616,3264,4584,AC
5,21,1,1286,2206,400,1626,MP
