P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
1,1,1,1504,489,551,5247,MP,Yes
1,2,8,1240,1306,1100,6535,DF,Yes
1,3,7,623,1377,2079,3463,CF,No
1,4,6,331,,6896,1527,ACF,No
1,5,5,1011,960,576,3789,MPF,No
1,6,4,1068,1508,465,2259,DB,No
1,7,3,650,815,333,2667,CB,Yes
1,8,2,1919,1149,2674,1235,AC,Yes
1,9,1,768,1528,390,973,MP,Yes
1,10,8,409,591,1799,1204,DF,Yes
1,11,7,869,467,909,3954,CF,No
1,12,6,1599,1965,561,3166,ACF,No
1,13,5,1285,1505,741,2293,MPF,No
1,14,4,1003,970,598,2705,DB,No
1,15,3,923,2002,581,1133,CB,Yes
1,16,2,1071,1557,913,1251,AC,Yes
1,17,1,1111,1445,1857,553,MP,Yes
1,18,8,510,924,2767,171,DF,Yes
1,19,7,1097,874,1262,2214,CF,No
1,20,6,703,1359,5894,5792,ACF,No
1,21,5,1252,511,624,2067,MPF,No
1,22,4,783,724,830,1439,DB,No
1,23,3,819,622,1617,751,CB,Yes
1,24,2,573,1345,835,1264,AC,Yes
1,25,1,625,1298,383,1242,MP,Yes
1,26,8,709,1348,903,1640,DF,Yes
1,27,7,1264,1364,1144,4644,CF,No
1,28,6,1289,2615,1012,2614,ACF,No
1,29,5,602,1407,692,1849,MPF,No
1,30,4,1041,1830,2675,1672,DB,No
1,31,3,1525,3025,1147,401,CB,Yes
1,32,2,982,1753,3471,7257,AC,Yes
2,1,2,1227,1096,426,664,AC,Yes
2,2,1,941,706,414,1527,MP,Yes
2,3,8,1762,864,530,4265,DF,Yes
2,4,7,1011,481,1489,1033,CF,No
2,5,6,850,629,656,3636,ACF,No
2,6,5,573,1401,543,2808,MPF,No
2,7,4,530,691,454,2063,DB,Yes
2,8,3,675,448,389,421,CB,Yes
2,9,2,658,726,2643,2740,AC,Yes
2,10,1,911,662,,478,MP,Yes
2,11,8,662,2937,862,13798,DF,No
2,12,7,653,776,619,6903,CF,Yes
2,13,6,1612,2288,3394,2368,ACF,No
2,14,5,839,3563,676,3960,MPF,Yes
2,15,4,503,488,302,1339,DB,No
2,16,3,518,342,384,578,CB,Yes
2,17,2,560,752,391,817,AC,Yes
2,18,1,910,653,441,1002,MP,Yes
2,19,8,646,900,441,7214,DF,No
2,20,7,671,587,442,659,CF,No
2,21,6,805,908,1642,1063,ACF,No
2,22,5,1075,1225,491,1494,MPF,No
2,23,4,1268,785,489,923,DB,No
2,24,3,704,536,404,1765,CB,Yes
2,25,2,805,719,386,649,AC,Yes
2,26,1,790,1447,508,1029,MP,Yes
2,27,8,622,695,684,2763,DF,No
2,28,7,497,682,603,1844,CF,No
2,29,6,1637,784,550,4274,ACF,No
2,30,5,946,1174,730,10571,MPF,No
2,31,4,817,1458,451,3189,DB,No
2,32,3,742,601,495,1337,CB,Yes
3,1,3,673,374,592,1515,CB,Yes
3,2,2,871,752,918,696,AC,Yes
3,3,1,340,370,712,4176,MP,Yes
3,4,8,455,441,561,2394,DF,Yes
3,5,7,177,954,621,904,CF,No
3,6,6,475,629,774,3129,ACF,No
3,7,5,263,688,546,3509,MPF,No
3,8,4,334,340,382,2703,DB,No
3,9,3,159,305,356,2851,CB,Yes
3,10,2,163,514,1006,1883,AC,Yes
3,11,1,348,419,404,1363,MP,Yes
3,12,8,305,381,696,481,DF,Yes
3,13,7,335,403,1372,6864,CF,Yes
3,14,6,256,573,665,3813,ACF,No
3,15,5,611,454,563,3228,MPF,No
3,16,4,147,551,370,3000,DB,No
3,17,3,637,597,450,1533,CB,Yes
3,18,2,586,610,406,3185,AC,Yes
3,19,1,538,483,406,2148,MP,Yes
3,20,8,404,1487,586,3044,DF,Yes
3,21,7,1441,329,1480,3403,CF,Yes
3,22,6,706,885,524,3878,ACF,No
3,23,5,835,,630,5636,MPF,No
3,24,4,624,545,536,954,DB,No
3,25,3,383,,1383,705,CB,Yes
3,26,2,121,572,,1696,AC,Yes
3,27,1,600,508,371,,MP,Yes
3,28,8,553,384,1528,2237,DF,Yes
3,29,7,343,1905,839,1972,CF,Yes
